M, A, D, T, LA, HA, LB, HB, LG, MG, NULL, PS
63, 74, 61238, 42069, 10489, 8760, 25324, 14750, 4739, 1986, , 0
78, 78, 54217, 40034, 34224, 5113, 23570, 7155, 3878, 2741, , 0
84, 81, 46052, 29495, 16821, 17122, 6961, 4046, 4184, 5672, , 0
78, 83, 108506, 84233, 8147, 22712, 16105, 8058, 3578, 1776, , 0
77, 63, 727399, 186860, 24066, 18455, 23397, 11979, 3825, 2194, , 0
56, 60, 45482, 85190, 3394, 1937, 5765, 6109, 3015, 4448, , 0
47, 66, 12925, 78782, 29999, 18719, 34144, 14894, 1804, 3456, , 0
51, 77, 15429, 34426, 4604, 18814, 2542, 9984, 2888, 2469, , 0
63, 88, 24436, 7821, 14026, 449, 11565, 2717, 1434, 2756, , 0
84, 88, 729815, 89889, 45431, 15505, 13710, 9841, 5236, 2951, , 0
90, 78, 1218361, 23099, 7775, 23533, 26229, 2989, 2668, 2045, , 0
88, 69, 132455, 18969, 4254, 5306, 2755, 2045, 791, 397, , 0
84, 57, 64331, 143841, 59585, 22710, 15594, 10284, 2542, 2762, , 0
70, 53, 526052, 189005, 13126, 14396, 15909, 8224, 4876, 2143, , 0
77, 63, 608346, 27777, 28194, 15758, 8482, 7894, 2625, 5150, , 0
81, 77, 16371, 12291, 9408, 7121, 3733, 7391, 2884, 2512, , 0
91, 77, 12541, 27030, 41860, 18944, 7957, 3708, 2135, 1206, , 0
100, 84, 16720, 9607, 24404, 39949, 12070, 6509, 1488, 2163, , 0
100, 88, 22376, 21798, 4713, 5017, 8978, 5214, 10148, 2254, , 0
97, 70, 11079, 47389, 24578, 6044, 10737, 4243, 1682, 1262, , 0
81, 93, 62546, 15520, 4845, 2885, 5541, 7035, 2622, 1992, , 0
70, 96, 5902, 15602, 5064, 13922, 8090, 3752, 2220, 1987, , 0
80, 96, 11179, 16813, 8207, 11513, 3500, 5876, 2595, 2289, , 0
69, 100, 34163, 29615, 2503, 3282, 2972, 4690, 2685, 2014, , 0
75, 83, 207017, 121717, 58620, 11475, 14169, 7171, 5476, 4431, , 0
69, 91, 203391, 7937, 740, 4431, 2688, 2341, 381, 262, , 0
66, 83, 2093654, 114813, 42719, 22071, 8092, 14374, 3210, 3742, , 0
81, 80, 566990, 9648, 5586, 3817, 497, 1855, 1044, 1901, , 0
74, 97, 85041, 14193, 3463, 2620, 10097, 3679, 1054, 947, , 0
77, 100, 127786, 20751, 15891, 2659, 6525, 8258, 18896, 8929, , 0
74, 100, 34580, 24184, 10367, 2715, 8338, 6740, 3186, 3418, , 0
64, 100, 159964, 23112, 7201, 1772, 1884, 4377, 796, 954, , 0
64, 100, 202236, 105676, 22195, 12176, 13916, 14374, 4213, 5287, , 0
63, 90, 115817, 45074, 3270, 20894, 6400, 4757, 4006, 3946, , 0
66, 81, 226114, 62616, 9201, 24069, 6512, 7756, 3650, 8629, , 0
69, 84, 1320840, 335500, 160562, 220781, 316900, 117732, 10127, 6315, , 0
80, 81, 72219, 42696, 19676, 16230, 4677, 6383, 2962, 5408, , 0
90, 94, 5812, 4133, 8972, 8516, 4394, 3855, 1798, 3109, , 0
96, 100, 143459, 16536, 19619, 11514, 6139, 10401, 2758, 6636, , 0
88, 96, 35293, 53189, 11209, 4102, 7476, 5451, 3185, 2126, , 0
88, 100, 9380, 9774, 6678, 6714, 5144, 5753, 3898, 2074, , 0
84, 100, 47515, 10088, 10663, 9957, 5203, 9224, 2835, 5201, , 0
75, 100, 94659, 37072, 13787, 8751, 13542, 19827, 8060, 7798, , 0
83, 100, 336693, 53016, 10530, 31148, 11069, 5662, 4934, 6634, , 0
69, 94, 302889, 76770, 8919, 7226, 10030, 5767, 5634, 6459, , 0
63, 94, 19511, 12038, 3926, 3886, 2524, 6870, 3076, 4972, , 0
69, 80, 8314, 17161, 11982, 4310, 3260, 3501, 3034, 3106, , 0
63, 70, 215992, 265573, 72401, 13982, 30032, 11090, 1841, 6324, , 0
75, 78, 226440, 29252, 23497, 9988, 19515, 6726, 5205, 10972, , 0
70, 53, 109975, 54282, 11953, 5855, 2736, 2622, 715, 1511, , 0
63, 64, 94518, 17336, 820, 5501, 1353, 5865, 2911, 1315, , 0
64, 81, 2268113, 141782, 32844, 22253, 12852, 27466, 9945, 4330, , 0
66, 78, 16750, 28332, 28109, 5797, 4867, 5497, 4743, 4890, , 0
80, 87, 664868, 33520, 57551, 4996, 13370, 6821, 15403, 4896, , 0
80, 87, 1935, 23529, 1809, 8401, 1790, 9667, 6248, 2970, , 0
74, 69, 106178, 59329, 5990, 3119, 3758, 2240, 859, 503, , 0
