M, A, D, T, LA, HA, LB, HB, LG, MG, NULL, PS
60, 56, 1704304, 32696, 57530, 23901, 14329, 25587, 12548, 12146, , 0
57, 67, 2218788, 223195, 139651, 154105, 169457, 180423, 102991, 49912, , 0
51, 75, 194985, 29670, 4297, 2461, 7493, 6071, 4022, 4230, , 0
57, 69, 477160, 57269, 62980, 31527, 12995, 15660, 7013, 18675, , 0
48, 75, 57175, 32038, 13945, 8327, 5929, 23959, 7582, 10543, , 0
41, 63, 161815, 79823, 16437, 9785, 17264, 9078, 8266, 9314, , 0
43, 54, 147891, 88312, 10019, 8808, 12949, 6942, 3759, 1300, , 0
30, 48, 792636, 64157, 7371, 18444, 7073, 4074, 3534, 6198, , 0
35, 27, 131554, 40257, 12411, 7068, 3506, 2655, 1360, 1488, , 0
34, 26, 333422, 38779, 3373, 4885, 2336, 3184, 1222, 798, , 0
41, 30, 428304, 22545, 8780, 8083, 8852, 4693, 3651, 2070, , 0
41, 30, 1101156, 371271, 17647, 64723, 12519, 21913, 6182, 9203, , 26
44, 30, 875012, 31326, 6677, 9965, 2107, 2164, 1448, 1989, , 0
35, 37, 588960, 290491, 17651, 25875, 12395, 27814, 59758, 12719, , 0
37, 43, 807856, 553180, 65686, 127227, 67793, 108747, 48914, 22082, , 0
37, 40, 1649738, 131816, 41083, 28787, 16095, 15256, 13398, 4254, , 0
27, 66, 171684, 17414, 6722, 7267, 8305, 40020, 10028, 11328, , 0
26, 66, 493260, 135829, 6762, 9849, 21299, 11134, 13644, 10787, , 0
35, 60, 319218, 117485, 40953, 85076, 45788, 16688, 20393, 14487, , 0
27, 60, 319751, 90958, 7065, 18951, 15570, 8198, 3177, 5306, , 0
43, 37, 1034607, 72670, 46535, 78078, 57813, 16841, 14993, 10938, , 0
53, 35, 675901, 308442, 108073, 38116, 70841, 26140, 40467, 31680, , 0
38, 29, 235896, 1222152, 46647, 155754, 78318, 50381, 172431, 20725, , 0
53, 35, 306979, 28901, 27016, 59692, 22766, 15899, 16900, 11376, , 0
