[0.0, 0.0, 298129.0, 111168.0, 7524.0, 6521.0, 14072.0, 1766.0, 3780.0, 2536.0]
[0.0, 0.0, 418851.0, 39785.0, 14561.0, 10676.0, 5712.0, 3133.0, 2357.0, 1004.0]
[0.0, 0.0, 36803.0, 22122.0, 24424.0, 11640.0, 4614.0, 11689.0, 5742.0, 3899.0]
[44.0, 41.0, 23967.0, 36195.0, 13594.0, 5002.0, 11146.0, 3067.0, 1901.0, 5978.0]
[53.0, 53.0, 87884.0, 38243.0, 15434.0, 28866.0, 25925.0, 12140.0, 2931.0, 3553.0]
[51.0, 57.0, 726319.0, 140665.0, 11942.0, 23604.0, 18237.0, 11262.0, 13181.0, 4091.0]
[67.0, 69.0, 623840.0, 15019.0, 23271.0, 13602.0, 7907.0, 9171.0, 3434.0, 6577.0]
[69.0, 75.0, 175352.0, 29629.0, 10383.0, 8830.0, 5181.0, 3836.0, 2814.0, 1361.0]
[60.0, 61.0, 373986.0, 39392.0, 5924.0, 1869.0, 2827.0, 1481.0, 678.0, 416.0]
[66.0, 67.0, 2252.0, 18633.0, 8052.0, 3568.0, 5744.0, 4402.0, 3439.0, 4657.0]
[64.0, 66.0, 6198.0, 3765.0, 8655.0, 6696.0, 7359.0, 2970.0, 4748.0, 7490.0]
[57.0, 83.0, 5364.0, 6852.0, 1523.0, 4344.0, 2341.0, 13379.0, 4308.0, 4414.0]
[75.0, 97.0, 2174.0, 4577.0, 6847.0, 4229.0, 2383.0, 4089.0, 3983.0, 2362.0]
[74.0, 93.0, 46465.0, 60471.0, 12948.0, 17787.0, 19381.0, 10669.0, 5838.0, 4330.0]
[60.0, 91.0, 29740.0, 51099.0, 5041.0, 13773.0, 5315.0, 13427.0, 4318.0, 2775.0]
[67.0, 78.0, 26743.0, 19219.0, 5250.0, 14256.0, 6671.0, 6766.0, 3854.0, 6067.0]
[54.0, 78.0, 8453.0, 9649.0, 1324.0, 2906.0, 4152.0, 2897.0, 2605.0, 5996.0]
[63.0, 83.0, 5395.0, 7174.0, 8326.0, 2743.0, 1965.0, 3847.0, 4599.0, 3693.0]
[64.0, 94.0, 3672.0, 4742.0, 2817.0, 2998.0, 3788.0, 11394.0, 3669.0, 3584.0]
[75.0, 90.0, 16089.0, 15175.0, 29895.0, 13050.0, 5524.0, 4540.0, 3904.0, 4582.0]
[74.0, 81.0, 269070.0, 36975.0, 6188.0, 3815.0, 6442.0, 3692.0, 787.0, 1026.0]
[74.0, 77.0, 125254.0, 50778.0, 43968.0, 23673.0, 19339.0, 12785.0, 2566.0, 1496.0]
