M, A, D, T, LA, HA, LB, HB, LG, MG
47.0, 38.0, 116013.0, 64128.0, 12104.0, 6994.0, 4360.0, 2516.0, 896.0, 3023.0
56.0, 50.0, 66703.0, 10707.0, 13910.0, 5049.0, 3422.0, 24647.0, 4587.0, 4646.0
67.0, 48.0, 563407.0, 16786.0, 9907.0, 14018.0, 21483.0, 8528.0, 6900.0, 9453.0
48.0, 48.0, 174245.0, 70760.0, 2555.0, 3108.0, 5180.0, 4892.0, 9796.0, 6237.0
43.0, 53.0, 32226.0, 134220.0, 23057.0, 5768.0, 11436.0, 8179.0, 4741.0, 6028.0
54.0, 41.0, 286500.0, 30706.0, 35381.0, 28845.0, 6221.0, 14167.0, 13181.0, 12122.0
47.0, 51.0, 18664.0, 17676.0, 6444.0, 8798.0, 9989.0, 37352.0, 8010.0, 2221.0
64.0, 69.0, 162633.0, 15565.0, 11202.0, 7752.0, 6501.0, 31807.0, 10859.0, 15754.0
80.0, 80.0, 345352.0, 35190.0, 7540.0, 37392.0, 5067.0, 18118.0, 6335.0, 12613.0
63.0, 78.0, 60856.0, 19029.0, 297.0, 7407.0, 3887.0, 3422.0, 3822.0, 2570.0
74.0, 64.0, 213359.0, 34177.0, 23069.0, 6825.0, 9929.0, 10626.0, 2795.0, 3294.0
66.0, 48.0, 523501.0, 176414.0, 20415.0, 18639.0, 10021.0, 18280.0, 7481.0, 8898.0
57.0, 40.0, 198734.0, 76563.0, 19614.0, 11502.0, 7668.0, 6422.0, 10952.0, 11260.0
57.0, 48.0, 43414.0, 22533.0, 9550.0, 7546.0, 15086.0, 15669.0, 7150.0, 8718.0
57.0, 50.0, 20989.0, 14114.0, 13241.0, 3737.0, 11625.0, 6837.0, 5742.0, 5885.0
64.0, 61.0, 14489.0, 13115.0, 6871.0, 4986.0, 7406.0, 10466.0, 11426.0, 7213.0
64.0, 70.0, 38673.0, 36888.0, 14994.0, 6149.0, 8365.0, 15729.0, 8907.0, 13023.0
74.0, 75.0, 3554.0, 5474.0, 7510.0, 6149.0, 2951.0, 13322.0, 10504.0, 6240.0
63.0, 78.0, 2566.0, 23724.0, 3386.0, 7352.0, 11843.0, 11602.0, 3109.0, 4349.0
67.0, 75.0, 17622.0, 22525.0, 11849.0, 9991.0, 6064.0, 10374.0, 5618.0, 11745.0
80.0, 75.0, 3600.0, 13530.0, 11164.0, 11507.0, 2589.0, 11142.0, 5418.0, 6994.0
78.0, 69.0, 2692.0, 12719.0, 7649.0, 5947.0, 3695.0, 8118.0, 4974.0, 3325.0
67.0, 75.0, 4340.0, 15210.0, 673.0, 2498.0, 4116.0, 12828.0, 4097.0, 9315.0
69.0, 74.0, 41636.0, 10400.0, 12942.0, 4850.0, 10630.0, 5086.0, 8775.0, 7971.0
40.0, 67.0, 59918.0, 96057.0, 4565.0, 3840.0, 12008.0, 15109.0, 13713.0, 3337.0
38.0, 75.0, 25830.0, 5355.0, 4942.0, 12788.0, 7853.0, 19963.0, 8151.0, 4641.0
64.0, 61.0, 15545.0, 28325.0, 24472.0, 11134.0, 8024.0, 6286.0, 8683.0, 9349.0
61.0, 66.0, 28965.0, 8413.0, 5470.0, 6672.0, 4875.0, 8825.0, 7134.0, 13693.0
77.0, 77.0, 3552.0, 20364.0, 3552.0, 6237.0, 3132.0, 15855.0, 11292.0, 3816.0
69.0, 70.0, 39324.0, 30168.0, 5434.0, 10206.0, 7949.0, 20169.0, 5415.0, 13389.0
56.0, 81.0, 37747.0, 32884.0, 6225.0, 11190.0, 4563.0, 22720.0, 7144.0, 12875.0
43.0, 88.0, 8367.0, 7766.0, 192.0, 6198.0, 11283.0, 13792.0, 9912.0, 5404.0
50.0, 88.0, 7041.0, 7302.0, 1988.0, 6706.0, 4731.0, 9609.0, 4166.0, 6898.0
53.0, 78.0, 125678.0, 32443.0, 14296.0, 1581.0, 5430.0, 4637.0, 794.0, 1175.0
51.0, 83.0, 52945.0, 13540.0, 3455.0, 5778.0, 4780.0, 20008.0, 3840.0, 6927.0
67.0, 69.0, 71963.0, 14886.0, 11817.0, 5419.0, 8264.0, 4620.0, 8739.0, 6586.0
64.0, 69.0, 12212.0, 8661.0, 5027.0, 3551.0, 6532.0, 9555.0, 2521.0, 5820.0
61.0, 70.0, 4225.0, 31086.0, 8988.0, 3490.0, 9127.0, 6253.0, 7203.0, 8613.0
67.0, 57.0, 76678.0, 5085.0, 1261.0, 1847.0, 1061.0, 1010.0, 243.0, 284.0
50.0, 64.0, 41710.0, 25718.0, 1234.0, 4494.0, 6030.0, 13256.0, 4447.0, 7109.0
50.0, 63.0, 15064.0, 17199.0, 8068.0, 4074.0, 3910.0, 14565.0, 4829.0, 7467.0
37.0, 56.0, 1302928.0, 188281.0, 1749.0, 17268.0, 10280.0, 10811.0, 6836.0, 11108.0
43.0, 51.0, 116834.0, 71237.0, 45219.0, 30274.0, 23210.0, 10121.0, 8184.0, 6778.0
57.0, 48.0, 36607.0, 33487.0, 10439.0, 18256.0, 12411.0, 18654.0, 20060.0, 16665.0
63.0, 43.0, 12795.0, 15586.0, 10910.0, 3780.0, 6203.0, 6237.0, 6795.0, 2055.0
77.0, 41.0, 336186.0, 33018.0, 6378.0, 5497.0, 9299.0, 1906.0, 1483.0, 1262.0
66.0, 38.0, 189612.0, 44633.0, 10890.0, 8063.0, 7102.0, 2767.0, 1131.0, 756.0
67.0, 40.0, 23929.0, 6725.0, 4431.0, 9488.0, 12100.0, 7731.0, 2906.0, 3812.0
50.0, 34.0, 5174.0, 33670.0, 741.0, 4317.0, 4987.0, 3105.0, 3863.0, 3132.0
44.0, 41.0, 7829.0, 38876.0, 4736.0, 3784.0, 6797.0, 6635.0, 4407.0, 8392.0
50.0, 60.0, 7593.0, 6732.0, 5387.0, 6823.0, 3319.0, 11925.0, 4241.0, 6219.0
50.0, 53.0, 10008.0, 15902.0, 12549.0, 1538.0, 5550.0, 4790.0, 5006.0, 3382.0
63.0, 69.0, 2977.0, 6941.0, 3595.0, 5899.0, 7314.0, 12714.0, 5032.0, 11211.0
74.0, 74.0, 11617.0, 25966.0, 7144.0, 8016.0, 3494.0, 9941.0, 6391.0, 7444.0
74.0, 64.0, 197907.0, 19579.0, 14706.0, 7755.0, 9942.0, 7168.0, 4024.0, 4302.0
75.0, 54.0, 250678.0, 115196.0, 37060.0, 77562.0, 57441.0, 11322.0, 8985.0, 4560.0
77.0, 35.0, 581115.0, 35281.0, 14209.0, 2475.0, 4525.0, 1755.0, 1306.0, 780.0
64.0, 35.0, 40678.0, 28633.0, 4654.0, 2335.0, 12746.0, 8114.0, 7243.0, 6539.0
69.0, 44.0, 3660.0, 6854.0, 35336.0, 13804.0, 4473.0, 37202.0, 6040.0, 3674.0
70.0, 61.0, 16115.0, 11538.0, 17514.0, 4987.0, 1106.0, 18778.0, 7510.0, 8707.0
66.0, 78.0, 224026.0, 27222.0, 9112.0, 4683.0, 8943.0, 14274.0, 11671.0, 6699.0
84.0, 84.0, 15143.0, 9167.0, 11286.0, 8680.0, 2969.0, 18063.0, 7040.0, 2889.0
67.0, 84.0, 64628.0, 18456.0, 2485.0, 6947.0, 4231.0, 20541.0, 7999.0, 5243.0
66.0, 83.0, 70093.0, 6012.0, 883.0, 9733.0, 5780.0, 7325.0, 2553.0, 5194.0
61.0, 80.0, 112356.0, 16992.0, 4009.0, 172.0, 1951.0, 4797.0, 846.0, 1469.0
48.0, 63.0, 214911.0, 37448.0, 2245.0, 6608.0, 4737.0, 2369.0, 991.0, 2526.0
53.0, 54.0, 15107.0, 22392.0, 3141.0, 9524.0, 3624.0, 9012.0, 3961.0, 3801.0
56.0, 47.0, 232493.0, 68856.0, 45045.0, 19044.0, 9789.0, 16093.0, 2278.0, 3832.0
47.0, 48.0, 15342.0, 34587.0, 2447.0, 2184.0, 7414.0, 12968.0, 3978.0, 5285.0
53.0, 48.0, 362058.0, 94663.0, 42218.0, 6903.0, 21764.0, 8105.0, 3304.0, 7820.0
54.0, 51.0, 6669.0, 15113.0, 5514.0, 6403.0, 2782.0, 9821.0, 11334.0, 5874.0
63.0, 56.0, 33681.0, 7982.0, 23832.0, 9505.0, 6916.0, 11176.0, 5510.0, 7400.0
75.0, 63.0, 680.0, 6959.0, 4604.0, 1564.0, 10288.0, 9757.0, 4987.0, 5075.0
81.0, 75.0, 4260.0, 7345.0, 7558.0, 5647.0, 6945.0, 7295.0, 4984.0, 4818.0
78.0, 75.0, 29913.0, 25023.0, 5025.0, 15351.0, 22099.0, 13469.0, 5856.0, 12433.0
60.0, 69.0, 69872.0, 63651.0, 9671.0, 18137.0, 6522.0, 12220.0, 8590.0, 3935.0
77.0, 56.0, 27316.0, 37450.0, 23523.0, 21327.0, 7413.0, 8302.0, 14304.0, 5932.0
77.0, 54.0, 46642.0, 14630.0, 6812.0, 10783.0, 4868.0, 10847.0, 8507.0, 6614.0
80.0, 60.0, 3539.0, 6482.0, 3713.0, 8827.0, 9893.0, 10930.0, 4328.0, 8097.0
77.0, 74.0, 11192.0, 12196.0, 4409.0, 2863.0, 3996.0, 14796.0, 4554.0, 10447.0
69.0, 83.0, 10219.0, 7467.0, 4168.0, 3697.0, 1310.0, 7052.0, 3818.0, 7921.0
74.0, 81.0, 363066.0, 9801.0, 15801.0, 2583.0, 3729.0, 7235.0, 1118.0, 1157.0
78.0, 81.0, 22186.0, 8098.0, 11029.0, 9306.0, 6886.0, 15607.0, 6207.0, 6486.0
77.0, 80.0, 8176.0, 19938.0, 4935.0, 4555.0, 9497.0, 18138.0, 13294.0, 5092.0
77.0, 80.0, 399401.0, 25549.0, 17228.0, 9132.0, 8610.0, 22363.0, 6927.0, 6278.0
74.0, 81.0, 61324.0, 20280.0, 25661.0, 4281.0, 3811.0, 16962.0, 6417.0, 8689.0
64.0, 80.0, 3920.0, 13942.0, 5874.0, 5210.0, 4403.0, 12495.0, 10102.0, 11882.0
80.0, 75.0, 334699.0, 24367.0, 21752.0, 9572.0, 7831.0, 14764.0, 4454.0, 5422.0
63.0, 51.0, 42041.0, 52860.0, 1230.0, 4962.0, 1309.0, 1104.0, 631.0, 552.0
51.0, 34.0, 677408.0, 245507.0, 46539.0, 27744.0, 29257.0, 7760.0, 6054.0, 5069.0
60.0, 16.0, 302553.0, 71167.0, 43016.0, 7809.0, 10321.0, 6445.0, 4711.0, 7385.0
60.0, 17.0, 15276.0, 11632.0, 9367.0, 8513.0, 3266.0, 10091.0, 8720.0, 3957.0
67.0, 29.0, 32805.0, 55208.0, 12093.0, 5491.0, 5790.0, 6050.0, 7080.0, 2259.0
51.0, 24.0, 183236.0, 95680.0, 1085.0, 5747.0, 4131.0, 1295.0, 622.0, 372.0
47.0, 27.0, 118160.0, 21343.0, 6987.0, 2888.0, 1285.0, 2613.0, 852.0, 780.0
29.0, 14.0, 623532.0, 169834.0, 11039.0, 21096.0, 19978.0, 11155.0, 12187.0, 11533.0
30.0, 20.0, 398994.0, 50002.0, 6398.0, 14493.0, 10793.0, 12671.0, 9310.0, 14131.0
57.0, 40.0, 170989.0, 21064.0, 19087.0, 2724.0, 2452.0, 7557.0, 4093.0, 6634.0
57.0, 38.0, 47009.0, 47100.0, 6919.0, 16501.0, 6920.0, 5111.0, 3715.0, 3192.0
66.0, 50.0, 481144.0, 21179.0, 3360.0, 8383.0, 6452.0, 9077.0, 41712.0, 17442.0
63.0, 57.0, 18093.0, 18176.0, 6481.0, 3257.0, 7803.0, 16772.0, 18697.0, 15159.0
63.0, 54.0, 239408.0, 59458.0, 25616.0, 42880.0, 41106.0, 13312.0, 62980.0, 22537.0
47.0, 47.0, 237278.0, 105331.0, 2694.0, 7594.0, 4596.0, 2810.0, 4311.0, 7515.0
51.0, 34.0, 90428.0, 39134.0, 12517.0, 9501.0, 4059.0, 2502.0, 2940.0, 1333.0
57.0, 14.0, 271778.0, 90395.0, 26305.0, 18336.0, 10913.0, 7397.0, 6625.0, 8393.0
53.0, 21.0, 25521.0, 16023.0, 7452.0, 9994.0, 15279.0, 8888.0, 7017.0, 4394.0
67.0, 23.0, 577732.0, 152794.0, 52866.0, 6805.0, 7187.0, 6631.0, 10809.0, 6753.0
60.0, 30.0, 469167.0, 63158.0, 16322.0, 2473.0, 17724.0, 10701.0, 5371.0, 12108.0
60.0, 43.0, 30471.0, 22372.0, 9072.0, 6117.0, 4264.0, 9478.0, 9031.0, 7411.0
53.0, 47.0, 8816.0, 17962.0, 7443.0, 3401.0, 6997.0, 13250.0, 22125.0, 9741.0
56.0, 66.0, 42167.0, 21466.0, 14781.0, 5670.0, 8065.0, 18413.0, 6109.0, 16223.0
64.0, 81.0, 8555.0, 3148.0, 4415.0, 4702.0, 7702.0, 11561.0, 3739.0, 8010.0
77.0, 78.0, 29434.0, 26439.0, 20602.0, 25496.0, 5747.0, 10872.0, 15027.0, 9834.0
69.0, 84.0, 50288.0, 16806.0, 4327.0, 7735.0, 12777.0, 34331.0, 20292.0, 2894.0
64.0, 87.0, 8289.0, 12590.0, 5083.0, 1514.0, 2323.0, 11006.0, 10727.0, 7500.0
60.0, 74.0, 64932.0, 9599.0, 1256.0, 2932.0, 3037.0, 2092.0, 932.0, 2615.0
44.0, 70.0, 97075.0, 88153.0, 17825.0, 16139.0, 5924.0, 12576.0, 8299.0, 9732.0
53.0, 60.0, 29269.0, 30093.0, 9397.0, 6652.0, 11540.0, 11359.0, 12069.0, 7461.0
54.0, 47.0, 69348.0, 88778.0, 21397.0, 9183.0, 8185.0, 9909.0, 7935.0, 5453.0
51.0, 53.0, 4671.0, 19418.0, 1260.0, 9719.0, 12563.0, 13082.0, 7403.0, 7381.0
43.0, 54.0, 1085855.0, 97840.0, 4584.0, 19740.0, 28736.0, 15279.0, 9429.0, 12420.0
48.0, 51.0, 15389.0, 56598.0, 38356.0, 4927.0, 11380.0, 18604.0, 14421.0, 5735.0
48.0, 64.0, 255239.0, 47730.0, 18267.0, 9839.0, 4525.0, 38550.0, 7960.0, 5841.0
29.0, 48.0, 441693.0, 87560.0, 284.0, 4204.0, 12758.0, 4023.0, 2927.0, 1294.0
43.0, 54.0, 38494.0, 23477.0, 5920.0, 16421.0, 14764.0, 13486.0, 11251.0, 3328.0
29.0, 41.0, 474324.0, 99362.0, 11788.0, 4476.0, 5172.0, 3533.0, 1316.0, 1126.0
14.0, 16.0, 287959.0, 241595.0, 5349.0, 16811.0, 4818.0, 4964.0, 4400.0, 1131.0
51.0, 10.0, 1717423.0, 128191.0, 134760.0, 24005.0, 22730.0, 4539.0, 4780.0, 8187.0
27.0, 3.0, 165894.0, 71026.0, 1937.0, 3446.0, 12539.0, 9591.0, 5414.0, 10398.0
27.0, 24.0, 4269.0, 14246.0, 1997.0, 2629.0, 7297.0, 10457.0, 3555.0, 8202.0
47.0, 35.0, 161429.0, 51122.0, 18148.0, 7689.0, 10049.0, 5649.0, 5068.0, 4068.0
29.0, 53.0, 36416.0, 23754.0, 6449.0, 1585.0, 2524.0, 5782.0, 8116.0, 4305.0
38.0, 38.0, 251420.0, 61352.0, 3385.0, 5168.0, 6254.0, 1253.0, 464.0, 2841.0
47.0, 23.0, 436490.0, 112014.0, 27192.0, 7749.0, 8175.0, 8563.0, 4455.0, 3126.0
40.0, 23.0, 37786.0, 36975.0, 6918.0, 3271.0, 738.0, 3775.0, 6623.0, 6473.0
27.0, 29.0, 100331.0, 23192.0, 1923.0, 1771.0, 5236.0, 12438.0, 6208.0, 6725.0
38.0, 40.0, 365065.0, 146185.0, 21862.0, 25491.0, 8589.0, 11830.0, 3416.0, 1975.0
41.0, 44.0, 138660.0, 46627.0, 7252.0, 17569.0, 15130.0, 9290.0, 7233.0, 4239.0
37.0, 47.0, 49125.0, 40869.0, 3644.0, 3957.0, 3471.0, 4829.0, 5597.0, 5878.0
44.0, 40.0, 24374.0, 42743.0, 6388.0, 6671.0, 10486.0, 9072.0, 7191.0, 3806.0
43.0, 47.0, 3661.0, 13990.0, 5764.0, 888.0, 9298.0, 3602.0, 5509.0, 4071.0
40.0, 40.0, 228077.0, 44314.0, 6098.0, 9900.0, 6277.0, 2864.0, 1130.0, 1398.0
37.0, 37.0, 172661.0, 42666.0, 1377.0, 4425.0, 5222.0, 2882.0, 2875.0, 581.0
40.0, 35.0, 288878.0, 25770.0, 7432.0, 1233.0, 4036.0, 4829.0, 5830.0, 2909.0
47.0, 35.0, 787484.0, 31329.0, 8169.0, 11544.0, 10925.0, 9693.0, 6372.0, 3817.0
56.0, 41.0, 563465.0, 49101.0, 19281.0, 31247.0, 14254.0, 11992.0, 5717.0, 4156.0
64.0, 37.0, 98228.0, 30849.0, 5603.0, 2467.0, 4202.0, 1025.0, 321.0, 183.0
69.0, 24.0, 322038.0, 121215.0, 16612.0, 36903.0, 16760.0, 5012.0, 3559.0, 3632.0
75.0, 11.0, 85034.0, 24746.0, 16486.0, 2879.0, 4650.0, 1364.0, 1444.0, 2779.0
50.0, 1.0, 89608.0, 414164.0, 23452.0, 10207.0, 8113.0, 7043.0, 8659.0, 3232.0
48.0, 1.0, 1499745.0, 250978.0, 25612.0, 30244.0, 24782.0, 13605.0, 5705.0, 2771.0
63.0, 8.0, 11611.0, 6635.0, 9478.0, 17667.0, 4690.0, 3512.0, 2109.0, 3976.0
53.0, 14.0, 88834.0, 72786.0, 4220.0, 19190.0, 6011.0, 7248.0, 4321.0, 5245.0
69.0, 26.0, 170626.0, 15656.0, 5047.0, 1815.0, 2103.0, 1477.0, 6093.0, 700.0
67.0, 40.0, 162816.0, 28352.0, 5629.0, 5013.0, 22704.0, 9395.0, 2074.0, 2223.0
53.0, 43.0, 23993.0, 14454.0, 9681.0, 2821.0, 7029.0, 3967.0, 2637.0, 4145.0
37.0, 29.0, 74880.0, 96134.0, 3755.0, 2588.0, 3348.0, 1537.0, 1166.0, 722.0
44.0, 34.0, 709338.0, 34706.0, 17714.0, 20497.0, 8413.0, 7423.0, 9015.0, 4124.0
54.0, 30.0, 1416739.0, 40159.0, 17475.0, 10715.0, 15046.0, 13407.0, 6179.0, 4687.0
43.0, 23.0, 421931.0, 125135.0, 14622.0, 12388.0, 17105.0, 7829.0, 12633.0, 8307.0
48.0, 38.0, 232164.0, 38149.0, 4120.0, 1462.0, 6157.0, 5360.0, 6808.0, 2726.0
37.0, 37.0, 978588.0, 96045.0, 20278.0, 13894.0, 18921.0, 9500.0, 8251.0, 3573.0
21.0, 27.0, 196402.0, 46108.0, 4281.0, 1641.0, 4181.0, 3414.0, 3404.0, 2185.0
30.0, 26.0, 108209.0, 87650.0, 9424.0, 42138.0, 23121.0, 5903.0, 3350.0, 2200.0
37.0, 10.0, 148977.0, 63332.0, 8749.0, 2702.0, 2069.0, 907.0, 306.0, 863.0
51.0, 16.0, 66929.0, 23501.0, 27621.0, 42790.0, 30513.0, 14751.0, 6854.0, 9969.0
67.0, 21.0, 117836.0, 37389.0, 14127.0, 9488.0, 3003.0, 9546.0, 3577.0, 3354.0
61.0, 20.0, 154246.0, 45373.0, 10141.0, 1352.0, 2196.0, 1638.0, 795.0, 869.0
69.0, 44.0, 19279.0, 7708.0, 6868.0, 1063.0, 7679.0, 7144.0, 2613.0, 2268.0
48.0, 27.0, 172505.0, 67110.0, 10044.0, 1609.0, 5490.0, 1131.0, 1374.0, 1615.0
38.0, 23.0, 92423.0, 4905.0, 760.0, 291.0, 842.0, 492.0, 226.0, 289.0
44.0, 26.0, 71508.0, 44048.0, 15632.0, 6599.0, 4270.0, 3363.0, 1390.0, 1339.0
47.0, 17.0, 165764.0, 89455.0, 34093.0, 13036.0, 7334.0, 17345.0, 5979.0, 5116.0
44.0, 21.0, 158122.0, 30267.0, 2344.0, 2326.0, 3365.0, 924.0, 346.0, 305.0
53.0, 21.0, 9039.0, 45577.0, 6431.0, 17771.0, 10793.0, 5310.0, 5382.0, 3201.0
41.0, 17.0, 626955.0, 151059.0, 11401.0, 15747.0, 19082.0, 5281.0, 9325.0, 5323.0
40.0, 23.0, 52371.0, 26483.0, 12385.0, 1393.0, 1385.0, 10484.0, 1862.0, 2572.0
51.0, 21.0, 111227.0, 56019.0, 18364.0, 2721.0, 2430.0, 1592.0, 420.0, 899.0
50.0, 34.0, 15729.0, 21936.0, 6857.0, 5443.0, 5464.0, 13361.0, 3235.0, 3908.0
61.0, 37.0, 474635.0, 156156.0, 66882.0, 12352.0, 15195.0, 10598.0, 2607.0, 5860.0
63.0, 23.0, 142651.0, 44958.0, 15802.0, 5626.0, 3721.0, 2948.0, 796.0, 1638.0
61.0, 43.0, 3327.0, 5390.0, 2462.0, 876.0, 2468.0, 3557.0, 2701.0, 4316.0
60.0, 29.0, 703992.0, 271759.0, 75823.0, 14957.0, 9361.0, 23980.0, 24001.0, 9699.0
61.0, 48.0, 64373.0, 9807.0, 5897.0, 7112.0, 5394.0, 12403.0, 5873.0, 2838.0
43.0, 53.0, 513570.0, 114115.0, 9266.0, 3309.0, 10622.0, 10486.0, 4491.0, 4867.0
38.0, 47.0, 274838.0, 90344.0, 20326.0, 3925.0, 19555.0, 16166.0, 8456.0, 4264.0
47.0, 54.0, 85413.0, 15386.0, 7606.0, 10644.0, 8815.0, 6469.0, 10192.0, 6294.0
41.0, 40.0, 158280.0, 109429.0, 8124.0, 38573.0, 19277.0, 9650.0, 12725.0, 9488.0
40.0, 40.0, 76575.0, 209529.0, 11852.0, 6737.0, 19760.0, 19851.0, 11966.0, 5009.0
47.0, 41.0, 34335.0, 21963.0, 3509.0, 5878.0, 1352.0, 6534.0, 6944.0, 6198.0
38.0, 29.0, 127988.0, 50521.0, 12649.0, 1813.0, 2165.0, 2363.0, 1057.0, 1594.0
37.0, 37.0, 180236.0, 57797.0, 13924.0, 10731.0, 11765.0, 12776.0, 8163.0, 6792.0
