M, A, D, T, LA, HA, LB, HB, LG, MG
57.0, 51.0, 1508.0, 4205.0, 9602.0, 3268.0, 5044.0, 5992.0, 4505.0, 3390.0
44.0, 60.0, 4003.0, 15342.0, 3261.0, 2344.0, 2768.0, 7317.0, 3998.0, 6251.0
67.0, 66.0, 345885.0, 26387.0, 8776.0, 5645.0, 3558.0, 2110.0, 673.0, 865.0
66.0, 60.0, 642132.0, 81657.0, 59678.0, 51767.0, 102700.0, 41046.0, 10559.0, 5476.0
53.0, 56.0, 1960892.0, 147425.0, 40245.0, 24144.0, 24791.0, 40203.0, 7985.0, 3658.0
64.0, 56.0, 560731.0, 81228.0, 76223.0, 7649.0, 36091.0, 55766.0, 4479.0, 2496.0
70.0, 60.0, 106812.0, 13160.0, 2442.0, 13741.0, 4230.0, 3103.0, 2877.0, 3476.0
66.0, 47.0, 363612.0, 77477.0, 22802.0, 7789.0, 2410.0, 2825.0, 4353.0, 5214.0
66.0, 34.0, 591006.0, 417220.0, 65261.0, 74859.0, 22562.0, 14388.0, 9425.0, 12099.0
57.0, 21.0, 249061.0, 78339.0, 13152.0, 8886.0, 2895.0, 6193.0, 1068.0, 1028.0
61.0, 27.0, 4816.0, 3658.0, 8579.0, 5767.0, 7369.0, 4122.0, 8214.0, 4400.0
57.0, 47.0, 42912.0, 20365.0, 10820.0, 1847.0, 12872.0, 14676.0, 4225.0, 12524.0
48.0, 64.0, 6845.0, 14958.0, 2345.0, 1666.0, 4573.0, 7311.0, 3243.0, 1867.0
51.0, 74.0, 2915.0, 26543.0, 8542.0, 4710.0, 4084.0, 9944.0, 5770.0, 3408.0
34.0, 75.0, 6536.0, 13801.0, 3982.0, 1842.0, 2078.0, 5426.0, 3571.0, 3172.0
41.0, 74.0, 1077.0, 12510.0, 8793.0, 2237.0, 2537.0, 8093.0, 7610.0, 5643.0
57.0, 69.0, 17892.0, 11139.0, 3130.0, 10119.0, 7347.0, 5486.0, 5652.0, 9756.0
57.0, 57.0, 25154.0, 95429.0, 21991.0, 17364.0, 7902.0, 6873.0, 2284.0, 3377.0
54.0, 48.0, 71613.0, 46362.0, 5797.0, 6166.0, 4539.0, 3429.0, 3404.0, 3908.0
51.0, 41.0, 8201.0, 39534.0, 6531.0, 12869.0, 11886.0, 8503.0, 2896.0, 2659.0
44.0, 40.0, 1734.0, 16947.0, 4859.0, 5716.0, 6983.0, 5194.0, 4694.0, 5068.0
48.0, 48.0, 179511.0, 24543.0, 15215.0, 2050.0, 9167.0, 7051.0, 3478.0, 3870.0
60.0, 61.0, 6708.0, 9800.0, 2048.0, 9957.0, 6515.0, 8168.0, 3562.0, 2903.0
57.0, 61.0, 18661.0, 29670.0, 9312.0, 2608.0, 8441.0, 5811.0, 2715.0, 3036.0
61.0, 64.0, 5027.0, 16560.0, 7305.0, 6369.0, 3090.0, 10053.0, 5022.0, 8027.0
66.0, 74.0, 14341.0, 7035.0, 4092.0, 8650.0, 2935.0, 9668.0, 1987.0, 3769.0
57.0, 69.0, 121675.0, 55464.0, 17487.0, 5956.0, 9123.0, 19991.0, 3526.0, 4617.0
66.0, 83.0, 9296.0, 4221.0, 6865.0, 3651.0, 2930.0, 14983.0, 4956.0, 3299.0
51.0, 80.0, 385187.0, 67247.0, 6526.0, 7789.0, 9517.0, 15628.0, 2065.0, 2450.0
41.0, 77.0, 4414.0, 22517.0, 10497.0, 2496.0, 7910.0, 10232.0, 5721.0, 5572.0
54.0, 67.0, 124436.0, 60348.0, 38885.0, 22077.0, 5843.0, 10841.0, 7573.0, 2504.0
60.0, 57.0, 26826.0, 22442.0, 9938.0, 12651.0, 2533.0, 8649.0, 5552.0, 3448.0
70.0, 54.0, 337881.0, 87431.0, 26687.0, 19604.0, 17554.0, 16963.0, 4283.0, 4015.0
74.0, 61.0, 17235.0, 7604.0, 3804.0, 4756.0, 3564.0, 12806.0, 5080.0, 3246.0
63.0, 66.0, 10856.0, 17303.0, 4481.0, 7392.0, 7904.0, 5992.0, 4482.0, 3097.0
44.0, 78.0, 6354.0, 13688.0, 2011.0, 4214.0, 4616.0, 21210.0, 3462.0, 2176.0
61.0, 75.0, 227206.0, 28239.0, 52118.0, 19608.0, 17123.0, 7831.0, 11628.0, 3489.0
40.0, 67.0, 289905.0, 37223.0, 1620.0, 2281.0, 16681.0, 12311.0, 6018.0, 7865.0
44.0, 70.0, 6850.0, 8367.0, 4347.0, 5913.0, 6963.0, 6088.0, 3060.0, 6744.0
43.0, 60.0, 12493.0, 41039.0, 1684.0, 7345.0, 18274.0, 10966.0, 5241.0, 6654.0
14.0, 63.0, 474216.0, 40062.0, 3760.0, 5765.0, 14350.0, 6742.0, 5112.0, 6586.0
14.0, 74.0, 5780.0, 10860.0, 1060.0, 420.0, 3345.0, 15754.0, 8249.0, 5559.0
14.0, 77.0, 52669.0, 42723.0, 4786.0, 42261.0, 26276.0, 31453.0, 9570.0, 7681.0
21.0, 63.0, 1467754.0, 431006.0, 66553.0, 17255.0, 19304.0, 17274.0, 9712.0, 5969.0
